// 属性修正
// 横:モンスターの属性                                // 縦:攻撃の属性
1,10	// lv1属性テーブル
// 無   水   地   火   風   毒   聖   暗   念  不死
  100, 100, 100, 100, 100, 100, 100, 100,  25, 100,  // 無
  100,  25, 100, 150,  50, 100,  75, 100, 100, 100,  // 水
  100, 100, 100,  50, 150, 100,  75, 100, 100, 100,  // 地
  100,  50, 150,  25, 100, 100,  75, 100, 100, 125,  // 火
  100, 175,  50, 100,  25, 100,  75, 100, 100, 100,  // 風
  100, 100, 125, 125, 125,   0,  75,  50, 100, -25,  // 毒
  100, 100, 100, 100, 100, 100,   0, 125, 100, 150,  // 聖
  100, 100, 100, 100, 100,  50, 125,   0, 100, -25,  // 暗
   25, 100, 100, 100, 100, 100,  75,  75, 125, 100,  // 念
  100, 100, 100, 100, 100,  50, 100,   0, 100,   0,  // 不死
// 横:モンスターの属性                                // 縦:攻撃の属性
2,10	// lv2属性テーブル
//無   水   地   火   風   毒   聖   暗   念  不死
  100, 100, 100, 100, 100, 100, 100, 100,  25, 100,  // 無
  100,   0, 100, 175,  25, 100,  50,  75, 100, 100,  // 水
  100, 100,  50,  25, 175, 100,  50,  75, 100, 100,  // 地
  100,  25, 175,   0, 100, 100,  50,  75, 100, 150,  // 火
  100, 175,  25, 100,   0, 100,  50,  75, 100, 100,  // 風
  100,  75, 125, 125, 125,   0,  50,  25,  75, -50,  // 毒
  100, 100, 100, 100, 100, 100, -25, 150, 100, 175,  // 聖
  100, 100, 100, 100, 100,  25, 150, -25, 100, -50,  // 暗
    0,  75,  75,  75,  75,  75,  50,  50, 150, 125,  // 念
  100,  75,  75,  75,  75,  25, 125,   0, 100,   0,  // 不死
// 横:モンスターの属性                                // 縦:攻撃の属性
3,10	// lv3属性テーブル
// 無   水   地   火   風   毒   聖   暗   念  不死
  100, 100, 100, 100, 100, 100, 100, 100,   0, 100,  // 無
  100, -25, 100, 200,   0, 100,  25,  50, 100, 125,  // 水
  100, 100,   0,   0, 200, 100,  25,  50, 100,  75,  // 地
  100,   0, 200, -25, 100, 100,  25,  50, 100, 175,  // 火
  100, 200,   0, 100, -25, 100,  25,  50, 100, 100,  // 風
  100,  50, 100, 100, 100,   0,  25,   0,  50, -75,  // 毒
  100, 100, 100, 100, 100, 125, -50, 175, 100, 200,  // 聖
  100, 100, 100, 100, 100,   0, 175, -50, 100, -75,  // 暗
    0,  50,  50,  50,  50,  50,  25,  25, 175, 150,  // 念
  100,  50,  50,  50,  50,   0, 150,   0, 100,   0,  // 不死
// 横:モンスターの属性                                // 縦:攻撃の属性
4,10	// lv4属性テーブル
// 無   水   地   火   風   毒   聖   暗   念  不死
  100, 100, 100, 100, 100, 100, 100, 100,   0, 100,  // 無
  100, -50, 100, 200,   0,  75,   0,  25, 100, 150,  // 水
  100, 100, -25,   0, 200,  75,   0,  25, 100,  50,  // 地
  100,   0, 200, -50, 100,  75,   0,  25, 100, 200,  // 火
  100, 200,   0, 100, -50,  75,   0,  25, 100, 100,  // 風
  100,  25,  75,  75,  75,   0,   0, -25,  25,-100,  // 毒
  100,  75,  75,  75,  75, 125,-100, 200, 100, 200,  // 聖
  100,  75,  75,  75,  75, -25, 200,-100, 100,-100,  // 暗
    0,  25,  25,  25,  25,  25,   0,   0, 200, 175,  // 念
  100,  25,  25,  25,  25, -25, 175,   0, 100,   0,  // 不死
