10,9,9,11,60,288,144
18,16,16,20,86,368,184
28,25,25,31,116,568,284
40,36,36,44,152,696,348
85,77,77,100,232,1206,603
123,112,112,166,360,1774,887
168,153,153,226,440,2192,1096
220,200,200,295,544,3196,1598
278,253,253,374,672,5080,2540
400,320,320,0,1040,7352,3676
481,385,385,0,1208,8580,4290
613,490,490,0,1398,9892,4946
731,585,585,0,1604,13358,6679
875,700,700,0,1896,18984,9492
1038,830,830,0,2250,31925,12770
1213,970,970,0,3336,35860,14344
1400,1120,1120,0,3874,40013,16005
1575,1260,1260,0,4452,51605,20642
1775,1420,1420,0,6080,68585,27434
2268,1620,1620,0,7976,87770,35108
2604,1860,1860,0,11128,96443,38577
2786,1990,1990,0,12544,105515,42206
3136,2240,2240,0,14042,131770,52708
3506,2504,2504,0,18228,167428,66971
4136,2950,2950,0,28683,206720,82688
4796,3426,3426,0,38225,223860,89544
5508,3934,3934,0,42228,241673,96669
6264,4474,4474,0,46425,294553,117821
9645,6889,6889,0,58073,362303,144921
12392,7995,7995,0,70898,479053,174201
14220,9174,9174,0,91195,548856,186677
16159,10425,10425,0,99290,656197,199584
18209,11748,11748,0,107720,787507,238617
21649,13967,13967,0,131043,927154,286366
24451,15775,15775,0,156238,985696,337147
27401,17678,17678,0,195400,1046034,358435
30499,19677,19677,0,210438,1231134,380376
33748,21773,21773,0,226010,1449220,447685
47342,30543,30543,0,269028,1678177,526989
58160,34212,34212,0,314788,1773024,610246
64711,38065,38065,0,384853,2182221,644736
71573,42102,42102,0,479453,2534978,793535
78749,46323,46323,0,510878,3043585,921810
90144,53026,53026,0,620880,3782865,1106758
99312,58419,58419,0,715530,4461912,1260955
108870,64041,64041,0,965928,4672971,1487304
118816,69892,69892,0,1024488,5971896,1557657
129154,75973,75973,0,1205230,6250158,1990632
174196,102468,102468,0,1273990,6875174,2083386
213220,115254,115254,0,0,7562691,0
238080,128692,128692,0,0,8318960,0
264150,142784,142784,0,0,9150856,0
291427,157528,157528,0,0,10065942,0
329640,178184,178184,0,0,11877812,0
363155,196300,196300,0,0,14015818,0
398116,215198,215198,0,0,16538665,0
434526,234879,234879,0,0,19515624,0
472381,255341,255341,0,0,23028437,0
610848,330188,330188,0,0,28094693,0
741828,365914,365914,0,0,34275525,0
806448,403224,403224,0,0,41816141,0
884232,442116,442116,0,0,51015692,0
965180,482590,482590,0,0,62239144,0
1073896,536948,536948,0,0,79666104,0
1170382,585191,585191,0,0,101972614,0
1270556,635278,635278,0,0,130624946,0
1374422,687211,687211,0,0,167071930,0
1481976,740988,740988,0,0,213852071,0
1850800,925400,925400,0,0,213852071,0
3389616,1473746,1473746,0,0,0,0
3666333,1594058,1594058,0,0,0,0
3953534,1718928,1718928,0,0,0,0
4251217,1848355,1848355,0,0,0,0
4559382,1982340,1982340,0,0,0,0
5129260,2230113,2230113,0,0,0,0
5488173,2386162,2386162,0,0,0,0
5859059,2547417,2547417,0,0,0,0
6241919,2713878,2713878,0,0,0,0
7374168,3206160,3206160,0,0,0,0
9570622,3681024,3681024,0,0,0,0
10458427,4022472,4022472,0,0,0,0
11380262,4377024,4377024,0,0,0,0
12336168,4744680,4744680,0,0,0,0
13326144,5125440,5125440,0,0,0,0
14994907,5767272,5767272,0,0,0,0
16130400,6204000,6204000,0,0,0,0
17304206,6655464,6655464,0,0,0,0
18586326,7121664,7121664,0,0,0,0
19766760,7602600,7602600,0,0,0,0
29216160,9738720,9738720,0,0,0,0
34949880,11649960,11649960,0,0,0,0
40930560,13643520,13643520,0,0,0,0
55017900,18339300,18339300,0,0,0,0
71510400,23836800,23836800,0,0,0,0
106974000,35658000,35658000,0,0,0,0
146061000,48687000,48687000,0,0,0,0
174405000,58135000,58135000,0,0,0,0
299999999,99999999,99999999,0,0,0,0
0,0,0,0,0,0,0,0
