9,9,9,9,10,10,10,10,30,144,30,11,60,288
16,16,16,16,18,18,18,18,43,184,43,20,86,368
25,25,25,25,28,28,28,28,58,284,58,31,116,568
36,36,36,36,40,40,40,40,76,348,76,44,152,696
77,77,77,77,85,85,85,91,116,603,116,100,232,1206
112,112,112,112,123,123,123,151,180,887,180,166,360,1774
153,153,153,153,168,168,168,205,220,1096,220,226,440,2192
200,200,200,200,220,220,220,268,272,1598,272,295,544,3196
253,253,253,253,278,278,278,340,336,2540,336,374,672,5080
320,320,320,320,400,400,400,0,520,3676,520,0,1040,7352
385,385,385,385,481,481,481,0,604,4290,604,0,1208,8580
490,490,490,490,613,613,613,0,699,4946,699,0,1398,9892
585,585,585,585,731,731,731,0,802,6679,802,0,1604,13358
700,700,700,700,875,875,875,0,948,9492,948,0,1896,18984
830,830,830,830,1038,1038,1038,0,1125,12770,1125,0,2250,31925
970,970,970,970,1213,1213,1213,0,1668,14344,1668,0,3336,35860
1120,1120,1120,1120,1400,1400,1400,0,1937,16005,1937,0,3874,40013
1260,1260,1260,1260,1575,1575,1575,0,2226,20642,2226,0,4452,51605
1420,1420,1420,1420,1775,1775,1775,0,3040,27434,3040,0,6080,68585
1620,1620,1620,1620,2268,2268,2268,0,3988,35108,3988,0,7976,87770
1860,1860,1860,1860,2604,2604,2604,0,5564,38577,5564,0,11128,96443
1990,1990,1990,1990,2786,2786,2786,0,6272,42206,6272,0,12544,105515
2240,2240,2240,2240,3136,3136,3136,0,7021,52708,7021,0,14042,131770
2504,2504,2504,2504,3506,3506,3506,0,9114,66971,9114,0,18228,167428
2950,2950,2950,2950,4130,4130,4130,0,11473,82688,11473,0,28683,206720
3426,3426,3426,3426,4796,4796,4796,0,15290,89544,15290,0,38225,223860
3934,3934,3934,3934,5508,5508,5508,0,16891,96669,16891,0,42228,241673
4474,4474,4474,4474,6264,6264,6264,0,18570,117821,18570,0,46425,294553
6889,6889,6889,6889,9645,9645,9645,0,23229,144921,23229,0,58073,362303
7995,7995,7995,7995,12392,12392,12392,0,28359,174201,28359,0,70898,479053
9174,9174,9174,9174,14220,14220,14220,0,36478,186677,36478,0,91195,513362
10425,10425,10425,10425,16159,16159,16159,0,39716,199584,39716,0,99290,548856
11748,11748,11748,11748,18209,18209,18209,0,43088,238617,43088,0,107720,656197
13967,13967,13967,13967,21649,21649,21649,0,52417,286366,52417,0,131043,787507
15775,15775,15775,15775,24451,24451,24451,0,62495,337147,62495,0,156238,927154
17678,17678,17678,17678,27401,27401,27401,0,78160,358435,78160,0,195408,985696
19677,19677,19677,19677,30499,30499,30499,0,84175,380376,84175,0,210430,1046034
21773,21773,21773,21773,33748,33748,33748,0,90404,447685,90404,0,226010,1231134
30543,30543,30543,30543,47342,47342,47342,0,107611,526989,107611,0,269028,1449220
34212,34212,34212,34212,58160,58160,58160,0,125915,610246,125915,0,314788,1678177
38065,38065,38065,38065,64711,64711,64711,0,153941,644736,153941,0,384853,1773024
42102,42102,42102,42102,71573,71573,71573,0,191781,793535,191781,0,479453,2182221
46323,46323,46323,46323,78749,78749,78749,0,204351,921810,204351,0,510878,2534978
53026,53026,53026,53026,90144,90144,90144,0,248352,1106758,248352,0,620880,3043585
58419,58419,58419,58419,99312,99312,99312,0,286212,1260955,286212,0,715530,3782865
64041,64041,64041,64041,108870,108870,108870,0,386371,1487304,386371,0,965928,4461912
69892,69892,69892,69892,118816,118816,118816,0,409795,1557657,409795,0,1024488,4672971
75973,75973,75973,75973,129154,129154,129154,0,482092,1990632,482092,0,1205230,5971896
102468,102468,102468,102468,174196,174196,174196,0,509596,2083386,509596,0,1273990,6250158
115254,115254,115254,115254,213220,213220,213220,0,0,0,982092,0,0,6875174
128692,128692,128692,128692,238080,238080,238080,0,0,0,992092,0,0,7562691
142784,142784,142784,142784,264150,264150,264150,0,0,0,1002092,0,0,8318960
157528,157528,157528,157528,291427,291427,291427,0,0,0,1012092,0,0,9150856
178184,178184,178184,178184,329640,329640,329640,0,0,0,1022092,0,0,10065942
196300,196300,196300,196300,363155,363155,363155,0,0,0,1032092,0,0,11877812
215198,215198,215198,215198,398116,398116,398116,0,0,0,1042092,0,0,14015818
234879,234879,234879,234879,434526,434526,434526,0,0,0,1052092,0,0,16538655
255341,255341,255341,255341,472381,472381,472381,0,0,0,1062092,0,0,19515624
330188,330188,330188,330188,610848,610848,610848,0,0,0,1072092,0,0,23028437
365914,365914,365914,365914,731828,731828,731828,0,0,0,1082092,0,0,28094693
403224,403224,403224,403224,806448,806448,806448,0,0,0,1092092,0,0,34275525
442116,442116,442116,442116,884232,884232,884232,0,0,0,1102092,0,0,41816141
482590,482590,482590,482590,965180,965180,965180,0,0,0,1112092,0,0,51015692
536948,536948,536948,536948,1073896,1073896,1073896,0,0,0,1122092,0,0,62239144
585191,585191,585191,585191,1170382,1170382,1170382,0,0,0,1132092,0,0,79666104
635278,635278,635278,635278,1270556,1270556,1270556,0,0,0,1142092,0,0,101972614
687211,687211,687211,687211,1374422,1374422,1374422,0,0,0,1152092,0,0,130524946
740988,740988,740988,740988,1481976,1481976,1481976,0,0,0,1162092,0,0,167071930
925400,925400,925400,925400,1850800,1850800,1850800,0,0,0,1172092,0,0,213852071
1473746,1473746,1473746,1473746,3389616,3389616,3389616,0,0,0,1182092,0,0,0
1594058,1594058,1594058,1594058,3666333,3666333,3666333,0,0,0,1192092,0,0,0
1718928,1718928,1718928,1718928,3953534,3953534,3953534,0,0,0,1202092,0,0,0
1848355,1848355,1848355,1848355,4251217,4251217,4251217,0,0,0,1212092,0,0,0
1982340,1982340,1982340,1982340,4559382,4559382,4559382,0,0,0,1222092,0,0,0
2230113,2230113,2230113,2230113,5129260,5129260,5129260,0,0,0,1232092,0,0,0
2386162,2386162,2386162,2386162,5488173,5488173,5488173,0,0,0,1242092,0,0,0
2547417,2547417,2547417,2547417,5859059,5859059,5859059,0,0,0,1252092,0,0,0
2713878,2713878,2713878,2713878,6241919,6241919,6241919,0,0,0,1262092,0,0,0
3206160,3206160,3206160,3206160,7374168,7374168,7374168,0,0,0,1272092,0,0,0
3681024,3681024,3681024,3681024,9570662,9570662,9570662,0,0,0,1282092,0,0,0
4022472,4022472,4022472,4022472,10458427,10458427,10458427,0,0,0,1292092,0,0,0
4377024,4377024,4377024,4377024,11380262,11380262,11380262,0,0,0,1302092,0,0,0
4744680,4744680,4744680,4744680,12336168,12336168,12336168,0,0,0,1312092,0,0,0
5125440,5125440,5125440,5125440,13326144,13326144,13326144,0,0,0,1322092,0,0,0
5767272,5767272,5767272,5767272,14994907,14994907,14994907,0,0,0,1332092,0,0,0
6204000,6204000,6204000,6204000,16130400,16130400,16130400,0,0,0,1342092,0,0,0
6655464,6655464,6655464,6655464,17304200,17304200,17304200,0,0,0,1352092,0,0,0
7121664,7121664,7121664,7121664,18516326,18516326,18516326,0,0,0,1362092,0,0,0
7602600,7602600,7602600,7602600,19766760,19766760,19766760,0,0,0,1372092,0,0,0
9738720,9738720,9738720,9738720,29216160,29216160,29216160,0,0,0,1382092,0,0,0
11649960,11649960,11649960,11649960,34949880,34949880,34949880,0,0,0,1392092,0,0,0
13643520,13643520,13643520,13643520,40930560,40930560,40930560,0,0,0,1402092,0,0,0
18339300,18339300,18339300,18339300,55017900,55017900,55017900,0,0,0,1412092,0,0,0
23836800,23836800,23836800,23836800,71510400,71510400,71510400,0,0,0,1422092,0,0,0
35658000,35658000,35658000,35658000,106974000,106974000,106974000,0,0,0,1432092,0,0,0
48687000,48687000,48687000,48687000,146061000,146061000,146061000,0,0,0,1442092,0,0,0
58135000,58135000,58135000,58135000,174405000,174405000,174405000,0,0,0,1452092,0,0,0
99999999,99999999,99999999,99999999,299999997,299999997,299999997,0,0,0,1462092,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
