// Ore Discovery Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

IG_FingingOre,714,3		//Emperium
IG_FingingOre,756,20	//Rough Oridecon
IG_FingingOre,757,20	//Rough Elunium
IG_FingingOre,969,2		//Gold
IG_FingingOre,984,10	//Oridecon
IG_FingingOre,985,10	//Elunium
IG_FingingOre,990,30	//Red Blood
IG_FingingOre,991,30	//Crystal Blue
IG_FingingOre,992,30	//Wind of Verdure
IG_FingingOre,993,30	//Green Live
IG_FingingOre,994,15	//Flame Heart
IG_FingingOre,995,15	//Mystic Frozen
IG_FingingOre,996,15	//Rough Wind
IG_FingingOre,997,15	//Great Nature
IG_FingingOre,998,80	//Iron
IG_FingingOre,999,50	//Steel
IG_FingingOre,1002,100	//Iron Ore
IG_FingingOre,1003,60	//Coal
IG_FingingOre,1010,95	//Phracon
IG_FingingOre,1011,55	//Emveretarcon
