# Job_* script constant -> standing sprite_prefix in cloth-palette-index.tsv
# Mounted Class IDs still use the standing prefix. Do not invent prefixes.
Job_Novice	초보자
Job_Novice_High	초보자
Job_Baby	초보자
Job_Swordman	검사
Job_Swordman_High	검사
Job_Baby_Swordman	검사
Job_Mage	마법사
Job_Mage_High	마법사
Job_Baby_Mage	마법사
Job_Archer	궁수
Job_Archer_High	궁수
Job_Baby_Archer	궁수
Job_Acolyte	성직자
Job_Acolyte_High	성직자
Job_Baby_Acolyte	성직자
Job_Merchant	상인
Job_Merchant_High	상인
Job_Baby_Merchant	상인
Job_Thief	도둑
Job_Thief_High	도둑
Job_Baby_Thief	도둑
Job_Knight	기사
Job_Knight2	기사
Job_Baby_Knight	기사
Job_Baby_Knight2	기사
Job_Priest	프리스트
Job_Baby_Priest	프리스트
Job_Wizard	위저드
Job_Baby_Wizard	위저드
Job_Blacksmith	제철공
Job_Baby_Blacksmith	제철공
Job_Hunter	헌터
Job_Baby_Hunter	헌터
Job_Assassin	어세신
Job_Baby_Assassin	어세신
Job_Crusader	크루
Job_Crusader2	크루
Job_Baby_Crusader	크루
Job_Baby_Crusader2	크루
Job_Monk	몽크
Job_Baby_Monk	몽크
Job_Sage	세이지
Job_Baby_Sage	세이지
Job_Rogue	로그
Job_Baby_Rogue	로그
Job_Alchemist	연금술사
Job_Baby_Alchemist	연금술사
Job_Bard	바드
Job_Baby_Bard	바드
Job_Dancer	댄서
Job_Baby_Dancer	댄서
Job_Lord_Knight	로드나이트
Job_Lord_Knight2	로드나이트
Job_High_Priest	하이프리스트
Job_High_Wizard	하이위저드
Job_Whitesmith	화이트스미스
Job_Sniper	스나이퍼
Job_Assassin_Cross	어세신크로스
Job_Paladin	팔라딘
Job_Paladin2	팔라딘
Job_Champion	챔피온
Job_Professor	프로페서
Job_Stalker	스토커
Job_Creator	크리에이터
Job_Clown	크라운
Job_Gypsy	집시
Job_Super_Novice	슈퍼노비스
Job_Super_Baby	슈퍼노비스
Job_Super_Novice_E	슈퍼노비스
Job_Super_Baby_E	슈퍼노비스
Job_Taekwon	태권소년
Job_Baby_Taekwon	태권소년
Job_Star_Gladiator	권성
Job_Star_Gladiator2	권성
Job_Baby_Star_Gladiator	권성
Job_Baby_Star_Gladiator2	권성
Job_Soul_Linker	소울링커
Job_Baby_Soul_Linker	소울링커
Job_Gunslinger	건너
Job_Baby_Gunslinger	건너
Job_Ninja	닌자
Job_Baby_Ninja	닌자
Job_Kagerou	kagerou
Job_Baby_Kagerou	kagerou
Job_Oboro	oboro
Job_Baby_Oboro	oboro
Job_Rebellion	리벨리온
Job_Baby_Rebellion	리벨리온
Job_Summoner	묘족
Job_Baby_Summoner	묘족
Job_Star_Emperor	성제
Job_Star_Emperor2	성제
Job_Baby_Star_Emperor	성제
Job_Baby_Star_Emperor2	성제
Job_Soul_Reaper	소울리퍼
Job_Baby_Soul_Reaper	소울리퍼
Job_Rune_Knight	룬나이트
Job_Rune_Knight2	룬나이트
Job_Rune_Knight_T	룬나이트
Job_Rune_Knight_T2	룬나이트
Job_Baby_Rune_Knight	룬나이트
Job_Baby_Rune_Knight2	룬나이트
Job_Warlock	워록
Job_Warlock_T	워록
Job_Baby_Warlock	워록
Job_Ranger	레인저
Job_Ranger2	레인저
Job_Ranger_T	레인저
Job_Ranger_T2	레인저
Job_Baby_Ranger	레인저
Job_Baby_Ranger2	레인저
Job_Arch_Bishop	아크비숍
Job_Arch_Bishop_T	아크비숍
Job_Baby_Arch_Bishop	아크비숍
Job_Mechanic	미케닉
Job_Mechanic2	미케닉
Job_Mechanic_T	미케닉
Job_Mechanic_T2	미케닉
Job_Baby_Mechanic	미케닉
Job_Baby_Mechanic2	미케닉
Job_Guillotine_Cross	길로틴크로스
Job_Guillotine_Cross_T	길로틴크로스
Job_Baby_Guillotine_Cross	길로틴크로스
Job_Royal_Guard	로얄가드
Job_Royal_Guard2	로얄가드
Job_Royal_Guard_T	로얄가드
Job_Royal_Guard_T2	로얄가드
Job_Baby_Royal_Guard	로얄가드
Job_Baby_Royal_Guard2	로얄가드
Job_Sorcerer	소서러
Job_Sorcerer_T	소서러
Job_Baby_Sorcerer	소서러
Job_Minstrel	민스트럴
Job_Minstrel_T	민스트럴
Job_Baby_Minstrel	민스트럴
Job_Wanderer	원더러
Job_Wanderer_T	원더러
Job_Baby_Wanderer	원더러
Job_Sura	슈라
Job_Sura_T	슈라
Job_Baby_Sura	슈라
Job_Genetic	제네릭
Job_Genetic_T	제네릭
Job_Baby_Genetic	제네릭
Job_Shadow_Chaser	쉐도우체이서
Job_Shadow_Chaser_T	쉐도우체이서
Job_Baby_Shadow_Chaser	쉐도우체이서
Job_Dragon_Knight	dragon_knight
Job_Dragon_Knight2	dragon_knight
Job_Meister	meister
Job_Meister2	meister
Job_Shadow_Cross	shadow_cross
Job_Arch_Mage	arch_mage
Job_Cardinal	cardinal
Job_Windhawk	windhawk
Job_Windhawk2	windhawk
Job_Imperial_Guard	imperial_guard
Job_Imperial_Guard2	imperial_guard
Job_Biolo	biolo
Job_Abyss_Chaser	abyss_chaser
Job_Elemental_Master	elemetal_master
Job_Inquisitor	inquisitor
Job_Troubadour	troubadour
Job_Trouvere	trouvere
Job_Sky_Emperor	sky_emperor
Job_Sky_Emperor2	sky_emperor
Job_Soul_Ascetic	soul_ascetic
Job_Shinkiro	shinkiro
Job_Shiranui	shiranui
Job_Night_Watch	night_watch
Job_Hyper_Novice	hyper_novice
Job_Spirit_Handler	spirit_handler
