// Bloody Branch Summonable Monsters Database
//
// Structure of Database:
// MOB_<random group>,MobID,Rate

MOB_BLOODYBRANCH,1039,0
MOB_BLOODYBRANCH,1038,500000
MOB_BLOODYBRANCH,1039,500000
MOB_BLOODYBRANCH,1046,500000
MOB_BLOODYBRANCH,1059,500000
MOB_BLOODYBRANCH,1086,500000
MOB_BLOODYBRANCH,1087,500000
MOB_BLOODYBRANCH,1096,500000
MOB_BLOODYBRANCH,1112,500000
MOB_BLOODYBRANCH,1115,500000
MOB_BLOODYBRANCH,1120,500000
MOB_BLOODYBRANCH,1147,500000
MOB_BLOODYBRANCH,1150,500000
MOB_BLOODYBRANCH,1157,500000
MOB_BLOODYBRANCH,1159,500000
MOB_BLOODYBRANCH,1190,500000
MOB_BLOODYBRANCH,1251,500000
MOB_BLOODYBRANCH,1252,500000
MOB_BLOODYBRANCH,1272,500000
MOB_BLOODYBRANCH,1312,500000
MOB_BLOODYBRANCH,1373,500000
MOB_BLOODYBRANCH,1388,500000
MOB_BLOODYBRANCH,1389,500000
MOB_BLOODYBRANCH,1418,500000
MOB_BLOODYBRANCH,1492,500000
MOB_BLOODYBRANCH,1511,500000
MOB_BLOODYBRANCH,1582,500000
MOB_BLOODYBRANCH,1583,500000
MOB_BLOODYBRANCH,1623,500000
MOB_BLOODYBRANCH,1630,500000
MOB_BLOODYBRANCH,1658,500000
MOB_BLOODYBRANCH,1685,500000
MOB_BLOODYBRANCH,1688,500000
MOB_BLOODYBRANCH,1708,500000
MOB_BLOODYBRANCH,1719,500000
MOB_BLOODYBRANCH,1734,500000
MOB_BLOODYBRANCH,1751,500000
MOB_BLOODYBRANCH,1768,500000
MOB_BLOODYBRANCH,1779,500000
MOB_BLOODYBRANCH,1785,1000000
MOB_BLOODYBRANCH,1832,500000
MOB_BLOODYBRANCH,1871,500000
MOB_BLOODYBRANCH,1873,500000
MOB_BLOODYBRANCH,1885,500000
MOB_BLOODYBRANCH,2022,500000
