// Quest ID,Time Limit,Target1,Val1,Target2,Val2,Target3,Val3,MobID1,NameID1,Rate1,MobID2,NameID2,Rate2,MobID3,NameID3,Rate3,Quest Title
//  iRO Bounty Board Quests.
62556,0,1372,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Goat"
62557,0,1376,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Harpy"
62558,0,1386,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Sleeper"
62559,0,1369,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Grand Peco"
62560,0,1076,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Skeleton"
62561,0,1028,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Soldier Skeleton"
62562,0,1016,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Archer Skeleton"
62563,0,1026,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Munak"
62564,0,1188,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Bongun"
62565,0,1014,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Spore"
62566,0,1025,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Snake"
62567,0,1060,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Bigfoot"
62568,0,1033,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Elder Willow"
62569,0,1277,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Greatest General"
62599,0,1992,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Cornus"
62600,0,1993,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Naga"
62601,0,1995,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Pinguicula"
62602,0,1994,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Luciola Vespa"
62603,0,2074,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Curupira"
62604,0,2071,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Headless Mule"
62605,0,2072,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Jaguar"
62606,0,2073,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Toucan"
62607,0,2070,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Piranha"
62608,0,2069,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Iara"
62609,0,1261,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Wild Rose"
62610,0,1493,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Dryad"
62611,0,1499,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Wootan Fighter"
62612,0,1500,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Parasite"
62613,0,1987,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Centipede"
62614,0,1999,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Centipede Larva"
62615,0,1986,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Tatacho"
62616,0,2092,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Dolomedes"
62617,0,1034,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Thara Frog"
62618,0,1323,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Sea Otter"
62619,0,1317,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Seal"
62620,0,1254,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Raggler"
62621,0,1687,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Grove"
62622,0,1271,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bounty Board Alligator"
