20400,S_EMPEL_1,Guardian Stone,Guardian Stone,90,120000,0,0,0,0,1,2,40,50,1,1,1,1,1,1,15,15,0,0,20,1507328,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20401,S_EMPEL_2,Guardian Stone,Guardian Stone,90,1200000,0,0,0,0,1,2,40,50,1,1,1,1,1,1,15,15,0,0,20,1507328,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3750,FLECHA,Flecha,Flecha,99,78690,0,200000,0,1,1890,2390,59,10,90,99,99,35,250,66,15,15,1,7,81,102774421,180,76,384,288,0,0,0,0,0,0,0,678,45,7136,45,7135,45,7139,20,11504,200,11503,350,1166,2,984,1000,7621,2,0,0
3751,RAGNAMAN,RAGNAMAN,RAGNAMAN,99,88402,0,200000,0,1,2100,2530,63,12,90,99,72,20,250,25,15,15,1,6,63,102774421,170,76,384,288,0,0,0,0,0,0,0,678,45,7136,45,7135,45,7139,20,11504,200,11503,350,1232,2,984,1000,7621,2,0,0
3752,LILIKA_FELINA,LILIKA_FELINA,LILIKA FELINA,90,61282,0,200000,0,1,1300,2053,35,60,20,99,97,145,250,40,15,15,1,7,66,102774421,180,1152,384,288,0,0,0,0,0,0,0,678,45,7136,45,7135,45,7139,20,11504,200,11503,350,1232,2,984,1000,7621,2,1230,1
3753,BIGBOT,BIGBOT,BIGBOT,83,78690,0,200000,0,1,1890,2390,59,10,90,99,99,35,250,66,15,15,1,7,81,102774421,180,76,384,288,0,0,0,0,0,0,0,678,45,7136,45,7135,45,7139,20,11504,200,11503,350,1169,2,985,1000,7621,2,1228,1
3754,DIEGUITO,DIEGUITO,DIEGUITO,90,61282,0,200000,0,1,1300,2053,35,60,12,99,97,145,250,40,15,15,1,7,66,102774421,250,1152,384,288,0,0,0,0,0,0,0,678,45,7136,45,7135,45,7139,20,11504,200,11503,350,1261,2,985,1000,7621,2,0,0
3755,JIN_FAST,JIN_FAST,JIN_FAST,82,58900,0,200000,0,14,1226,1854,25,15,18,145,27,80,250,80,15,15,1,7,64,102774421,220,76,384,288,0,0,0,0,0,0,0,678,45,7136,45,7135,45,7139,20,11504,200,11503,350,1166,2,985,1000,7621,2,0,0
3756,CHUNKA,CHUNKA,CHUNKA,92,47280,0,200000,0,1,4300,6000,30,74,30,99,35,180,250,39,15,15,1,7,68,102774421,220,1152,384,288,0,0,0,0,0,0,0,678,45,7136,45,7135,45,7139,20,11504,200,11503,350,1261,2,985,1000,7621,2,0,0
3757,RYUKUN,RYUKUN,RYUKUN,83,78690,0,200000,0,5,1890,2390,59,55,90,99,30,99,250,66,15,15,1,7,81,102774421,220,800,384,288,0,0,0,0,0,0,0,678,45,7136,45,7135,45,7139,20,11504,200,11503,350,984,1000,1225,2,7621,2,0,0
25150,Ichthyousaur,Ichthyousaur,Ichthyousaur,10,9999,2000,9999,9999,1,1000,500,15,15,65,20,16,10,250,1,12,10,0,0,20,102774421,150,300,286,340,0,0,0,0,0,0,0,0,607,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3758,KENNY,KENNY,KENNY,90,61282,0,200000,0,5,1300,2053,35,60,60,99,97,145,250,40,15,15,1,7,66,102774421,220,1152,384,288,0,0,0,0,0,0,0,678,45,7136,45,7135,45,7139,20,11504,200,11503,350,1224,2,985,1000,7621,2,0,0
20403,EMPELIUM_,Spirit_Stone,Spirit Stone,90,100000,0,0,0,0,1,2,40,50,1,17,80,50,26,20,15,15,0,8,26,102760448,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200,TREASURE_BOX_E,Treasure_Chest,Treasure Chest,99,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,15,15,0,0,20,102760448,0,0,0,0,0,0,0,0,0,0,0,7079,4,7086,4,7082,4,7084,4,7078,4,7091,4,14232,100,30006,1000,616,1000,0,0
2201,TREASURE_BOX_F,Treasure_Chest,Treasure Chest,99,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,15,15,0,0,20,102760448,0,0,0,0,0,0,0,0,0,0,0,7075,4,7076,4,7087,4,7080,4,7081,4,7089,4,7088,4,30006,1000,616,1000,0,0
2202,TREASURE_BOX_G,Treasure_Chest,Treasure Chest,99,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,15,15,0,0,20,102760448,0,0,0,0,0,0,0,0,0,0,0,7075,4,7092,4,7090,4,7073,4,7077,4,7085,4,7083,4,30006,1000,616,1000,0,0
2203,TREASURE_BOX_H,Treasure_Chest,Treasure Chest,99,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,15,15,0,0,20,102760448,0,0,0,0,0,0,0,0,0,0,0,14232,100,14003,100,13973,160,13989,160,12214,40,12103,40,5155,12,30006,1000,616,1000,0,0
3759,MORTIS,MORTIS,MORTIS,98,85199,0,200000,0,1,2020,2320,23,12,186,138,31,19,250,30,15,15,1,6,85,102774421,180,76,384,288,0,0,0,0,0,0,0,678,45,7136,45,7135,45,7139,20,11504,200,11503,350,1169,2,984,1000,7621,2,0,0
