// Dead Branch Summonable Monsters Database
//
// Structure of Database:
// MOB_<random group>,MobID,Rate

MOB_DEADBRANCH,1001,0
MOB_DEADBRANCH,1001,214285
MOB_DEADBRANCH,1002,1000000
MOB_DEADBRANCH,1004,357142
MOB_DEADBRANCH,1005,357142
MOB_DEADBRANCH,1007,428571
MOB_DEADBRANCH,1008,71428
MOB_DEADBRANCH,1009,357142
MOB_DEADBRANCH,1010,357142
MOB_DEADBRANCH,1011,357142
MOB_DEADBRANCH,1012,357142
MOB_DEADBRANCH,1013,357142
MOB_DEADBRANCH,1014,357142
MOB_DEADBRANCH,1015,357142
MOB_DEADBRANCH,1016,214285
MOB_DEADBRANCH,1018,357142
MOB_DEADBRANCH,1019,357142
MOB_DEADBRANCH,1020,357142
MOB_DEADBRANCH,1023,214285
MOB_DEADBRANCH,1024,357142
MOB_DEADBRANCH,1025,357142
MOB_DEADBRANCH,1026,214285
MOB_DEADBRANCH,1028,214285
MOB_DEADBRANCH,1029,71428
MOB_DEADBRANCH,1030,214285
MOB_DEADBRANCH,1031,357142
MOB_DEADBRANCH,1032,214285
MOB_DEADBRANCH,1033,214285
MOB_DEADBRANCH,1034,214285
MOB_DEADBRANCH,1035,71428
MOB_DEADBRANCH,1036,214285
MOB_DEADBRANCH,1037,71428
MOB_DEADBRANCH,1040,214285
MOB_DEADBRANCH,1041,214285
MOB_DEADBRANCH,1042,357142
MOB_DEADBRANCH,1044,214285
MOB_DEADBRANCH,1045,214285
MOB_DEADBRANCH,1047,71428
MOB_DEADBRANCH,1048,71428
MOB_DEADBRANCH,1049,357142
MOB_DEADBRANCH,1050,357142
MOB_DEADBRANCH,1051,357142
MOB_DEADBRANCH,1052,357142
MOB_DEADBRANCH,1053,357142
MOB_DEADBRANCH,1054,357142
MOB_DEADBRANCH,1055,357142
MOB_DEADBRANCH,1056,357142
MOB_DEADBRANCH,1057,357142
MOB_DEADBRANCH,1058,214285
MOB_DEADBRANCH,1060,214285
MOB_DEADBRANCH,1061,71428
MOB_DEADBRANCH,1062,357142
MOB_DEADBRANCH,1063,357142
MOB_DEADBRANCH,1064,214285
MOB_DEADBRANCH,1065,214285
MOB_DEADBRANCH,1066,357142
MOB_DEADBRANCH,1067,214285
MOB_DEADBRANCH,1068,357142
MOB_DEADBRANCH,1069,214285
MOB_DEADBRANCH,1070,357142
MOB_DEADBRANCH,1071,214285
MOB_DEADBRANCH,1072,71428
MOB_DEADBRANCH,1073,214285
MOB_DEADBRANCH,1074,357142
