// Job-specific Values Database
//
// Structure of Database:
// JobID,Weight,HPFactor,HPMultiplicator,SPFactor,Unarmed,Dagger,1HSword,2HSword,1HSpear,2HSpear,1HAxe,2HAxe,1HMace,2HMace(unused),Rod,Bow,Knuckle,Instrument,Whip,Book,Katar,Revolver,Rifle,Gatling Gun,Shotgun,Grenade Launcher,Fuuma Shuriken,2HStaff,Shield
//
// Novice
0,	20000,0    ,500  ,100  ,40  ,55  ,57  ,200 ,200 ,200 ,50  ,200 ,50  ,55  ,65  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,65  ,10
// Swordman
1,	28000,70   ,500  ,200  ,40  ,47  ,47  ,54  ,57  ,65  ,55  ,60  ,50  ,55  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,5
// Magician
2,	22000,30   ,500  ,600  ,50  ,50  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,55  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,55  ,10
// Archer
3,	26000,50   ,500  ,200  ,40  ,55  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,50  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,9
// Acolyte
4,	24000,40   ,500  ,500  ,40  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,45  ,50  ,60  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,60  ,7
// Merchant
5,	28000,40   ,500  ,300  ,40  ,52  ,52  ,200 ,200 ,200 ,48  ,55  ,50  ,55  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,5
// Thief
6,	24000,50   ,500  ,200  ,40  ,48  ,50  ,200 ,200 ,200 ,60  ,200 ,200 ,200 ,200 ,53  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,6
// Knight
7,	28000,150  ,500  ,300  ,40  ,49  ,45  ,52  ,55  ,60  ,50  ,55  ,45  ,50  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,5
// Priest
