// Experience & Drop Rate Modifier Database
//
// Structure of Database:
// Type,Class,Level difference,Rate
//
// TYPE:
//   1=experience, 2=item drop
// CLASS:
//   0=Normal monsters, 1=Boss monsters, 2=Guardians
//
// Note: RENEWAL_DROP and/or RENEWAL_EXP must be enabled.

// EXP modifiers due to level difference
1,0,16,40
1,0,15,115
1,0,14,120
1,0,13,125
1,0,12,130
1,0,11,135
1,0,10,140
1,0,9,135
1,0,8,130
1,0,7,125
1,0,6,120
1,0,5,115
1,0,4,110
1,0,3,105
1,0,0,100
1,0,-1,100
1,0,-6,95
1,0,-11,90
1,0,-16,85
1,0,-21,60
1,0,-26,35
1,0,-31,10

// Boss Type
1,1,0,100

// Guardian Type
1,2,0,100

// Drop rate modifiers due to level difference
2,0,16,50
2,0,13,60
2,0,10,70
2,0,7,80
2,0,4,90
2,0,0,100
2,0,-4,90
2,0,-7,80
2,0,-10,70
2,0,-13,60
2,0,-16,50

// Boss Type
2,1,0,100

// Guardian Type
2,2,0,100
