// Old Blue Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

1,501,12	// Red Potion
1,502,12	// Orange Potion
1,503,12	// Yellow Potion
1,504,12	// White Potion
1,505,12	// Blue Potion
1,506,12	// Green Potion
1,507,12	// Red Herb
1,508,12	// Yellow Herb
1,509,12	// White Herb
1,510,12	// Blue Herb
1,511,12	// Green Herb
1,512,12	// Apple
1,513,12	// Banana
1,514,12	// Grape
1,515,12	// Carrot
1,516,12	// Potato
1,517,12	// Meat
1,518,12	// Honey
1,519,12	// Milk
1,520,12	// Hinalle Leaflet
1,521,12	// Aloe Leaflet
1,522,12	// Mastela Fruit
1,523,12	// Holy Water
1,525,12	// Panacea
1,526,12	// Royal Jelly
1,528,12	// Monster Food
1,529,12	// Candy
1,530,12	// Candy Cane
1,531,12	// Apple Juice
1,532,12	// Banana Juice
1,533,12	// Grape Juice
1,534,12	// Carrot Juice
1,535,12	// Pumpkin
1,536,12	// Ice Cream
1,537,12	// Pet Food
1,538,12	// Well-baked Cookie
1,539,12	// Piece of Cake
1,544,12	// Raw Fish
1,545,12	// Condensed Red Potion
1,546,12	// Condensed Yellow Potion
1,547,12	// Condensed White Potion
1,548,12	// Cheese
1,549,12	// Yam
1,550,12	// Rice Cake
1,551,12	// Sushi
1,553,12	// Bao
1,555,12	// Traditional Rice Cake
1,558,12	// Chocolate
1,561,12	// White Chocolate
1,601,12	// Fly Wing
1,602,12	// Butterfly Wing
1,604,512	// Dead Branch
1,605,12	// Anodyne
1,606,12	// Aloevera
1,607,12	// Yggdrasil Berry
1,608,12	// Yggdrasil Seed
1,609,12	// Amulet
1,610,12	// Yggdrasil Leaf
1,611,12	// Magnifier
1,612,12	// Mini Furnace
1,613,12	// Iron Hammer
1,614,12	// Golden Hammer
1,615,12	// Oridecon Hammer
1,618,12	// Worn Out Scroll
1,619,12	// Unripe Apple
1,620,12	// Orange Juice
1,621,12	// Bitter Herb
1,622,12	// Rainbow Carrot
1,623,12	// Earthworm the Dude
1,624,12	// Rotten Fish
1,625,12	// Rusty Iron
1,626,12	// Monster Juice
1,627,12	// Sweet Milk
1,628,12	// Well-Dried Bone
1,629,12	// Singing Flower
1,630,12	// Dew Laden Moss
1,631,12	// Deadly Noxious Herb
1,632,12	// Fatty Chubby Earthworm
1,633,12	// Sweet Potato
1,634,12	// Tropical Banana
1,635,12	// Orc Trophy
1,636,12	// No Recipient
1,637,12	// Old Broom
1,638,12	// Silver Knife of Chastity
1,639,12	// Armlet of Obedience
1,640,12	// Shining Stone
1,641,12	// Contracts in Shadow
1,642,12	// Book of the Devil
1,643,12	// Pet Incubator
1,644,312	// Gift Box
1,645,12	// Concentration Potion
1,656,12	// Awakening Potion
1,657,12	// Berserk Potion
1,659,12	// Her Heart
1,663,12	// Songpyun
1,664,12	// Gift Box
1,665,12	// Gift Box
1,666,12	// Gift Box
1,667,12	// Gift Box
1,668,12	// Red_Envelope
1,678,12	// Poison Bottle
1,679,12	// Pilule
1,701,12	// Ora Ora
1,702,12	// Animal Gore
1,703,12	// Hinalle
1,704,12	// Aloe
1,705,12	// Clover
1,706,12	// Four Leaf Clover
1,707,12	// Singing Plant
1,708,12	// Ment
1,710,12	// Illusion Flower
1,711,12	// Shoot
1,712,12	// Flower
1,713,12	// Empty Bottle
1,715,12	// Yellow Gemstone
1,716,12	// Red Gemstone
1,717,12	// Blue Gemstone
1,718,12	// Garnet
1,719,12	// Amethyst
1,720,12	// Aquamarine
1,721,12	// Emerald
1,722,12	// Pearl
1,723,12	// Ruby
1,724,12	// Cursed Ruby
1,725,12	// Sardonyx
1,726,12	// Sapphire
1,727,12	// Opal
1,728,12	// Topaz
1,729,12	// Zircon
1,730,12	// 1carat Diamond
1,731,12	// 2carat Diamond
1,732,12	// 3carat Diamond
1,733,12	// Cracked Diamond
1,734,12	// Red Frame
1,735,12	// Chung Jah
1,736,12	// China
1,737,12	// Black Ladle
1,738,12	// Pencil Case
1,739,12	// Rouge
1,740,12	// Puppet
1,741,12	// Poring Doll
1,742,12	// Chonchon Doll
1,743,12	// Spore Doll
1,744,12	// Bouquet
1,745,12	// Wedding Bouquet
1,746,12	// Glass Bead
1,747,12	// Crystal Mirror
1,748,12	// Witherless Rose
1,749,12	// Frozen Rose
1,750,12	// Baphomet Doll
1,751,12	// Osiris Doll
1,752,12	// Grasshopper Doll
1,753,12	// Yoyo Doll
1,754,12	// Raccoon Doll
1,901,12	// Danggie
1,902,12	// Tree Root
1,903,12	// Reptile Tongue
1,904,12	// Scorpion Tail
1,905,12	// Stem
1,906,12	// Pointed Scale
1,907,12	// Resin
1,908,12	// Spawn
1,909,12	// Jellopy
1,910,12	// Garlet
1,911,12	// Scell
1,912,12	// Zargon
1,913,12	// Tooth of Bat
1,914,12	// Fluff
1,915,12	// Chrysalis
1,916,12	// Feather of Birds
1,917,12	// Talon
1,918,12	// Sticky Webfoot
1,919,12	// Animal Skin
1,920,12	// Wolf Claw
1,921,12	// Mushroom Spore
1,922,12	// Orc's Fang
1,923,12	// Evil Horn
1,924,12	// Powder of Butterfly
1,925,12	// Bill of Birds
1,926,12	// Snake Scale
1,928,12	// Insect Feeler
1,929,12	// Immortal Heart
1,930,12	// Rotten Bandage
1,931,12	// Orcish Voucher
1,932,12	// Skel-Bone
1,934,12	// Memento
1,935,12	// Shell
1,936,12	// Scale Shell
1,937,12	// Venom Canine
1,938,12	// Sticky Mucus
1,939,12	// Bee Sting
1,940,12	// Grasshopper's Leg
1,941,12	// Nose Ring
1,942,12	// Yoyo Tail
1,943,12	// Solid Shell
1,944,12	// Horseshoe
1,945,12	// Raccoon Leaf
1,946,12	// Snail's Shell
1,947,12	// Horn
1,948,12	// Bear's Footskin
1,949,12	// Feather
1,950,12	// Heart of Mermaid
1,951,12	// Fin
1,952,12	// Cactus Needle
1,953,12	// Stone Heart
1,954,12	// Shining Scale
1,955,12	// Worm Peeling
1,956,12	// Gill
1,957,12	// Decayed Nail
1,958,12	// Horrendous Mouth
1,959,12	// Stinky Scale
1,960,12	// Nipper
1,961,12	// Conch
1,962,12	// Tentacle
1,963,12	// Sharp Scale
1,964,12	// Crab Shell
1,965,12	// Clam Shell
1,966,12	// Clam Flesh
1,967,12	// Turtle Shell
1,968,12	// Heroic Emblem
1,969,12	// Gold
