// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Popular
//    2: Headgear
//    3: Equipment
//    4: Consumables
//    5: Rental
//    6: Limited Time
//    7: Function
//    8: Specials
//
// Price:
//    Item cost, in cash points (#CASHPOINTS).

// =======================================
// 0: New
// =======================================
0,31452,7500
0,19291,7500
0,31437,7500
0,6241,700
0,16395,3000
0,6240,700
0,16393,3000

// =======================================
// 1: Popular
// =======================================
1,18934,5000
1,5564,5000
1,5574,5000
1,18693,5000
1,5208,5000
1,5211,5000
1,5372,5000
1,5592,5000

// =======================================
// 2: Headgear
// =======================================
2,31452,7500
2,19291,7500
2,31437,7500
2,18522,5000
2,18597,5000
2,5379,5000
2,18540,5000
2,5680,5000
2,18750,5000
2,18651,5000
2,5591,5000
2,20195,5000
2,18934,5000
2,5181,5000
2,5765,5000
2,5557,5000
2,5800,5000
2,5377,5000
2,5314,5000
2,18885,5000
2,5483,5000
2,5462,5000
2,5490,5000
2,5564,5000
2,5278,5000
2,5276,5000
2,5208,5000
2,18542,5000
2,5211,5000
2,5465,5000
2,5467,5000
2,5372,5000
2,5311,5000
2,5420,5000
2,5151,5000
2,5359,5000
2,5466,5000
2,5357,5000
2,5421,5000
2,5641,5000
2,5389,5000
2,5592,5000
2,5401,5000
2,5471,5000
2,5315,5000
2,5463,5000
2,5361,5000
2,5362,5000
2,5574,5000
2,18693,5000
2,5388,5000
2,5283,5000
2,5305,5000
2,18666,5000
2,5322,5000
2,5498,5000
2,18646,5000
2,5563,5000
2,18539,5000
2,18668,5000
2,5897,3750
2,5898,3750
2,5899,3750
2,5900,3750
2,5901,3750
2,5902,3750
2,5903,3750
2,5904,3750
2,5905,3750
2,5906,3750
2,18791,3750
2,18793,3750
2,18794,3750
2,18795,3750
2,5907,3750

// =======================================
// 3: Equipment
// =======================================
3,2345,4000
3,2347,4000
3,2349,4000
3,2351,4000

// =======================================
// 4: Consumables
// =======================================
4,12215,25
4,12216,25
4,14588,150
4,14589,150
4,12218,35
4,12913,200
4,12914,200
4,13912,1200
4,13913,1200
4,12916,280
4,14542,25
4,14544,25
4,14537,200
4,13749,200
4,14091,200
4,13720,1650
4,12202,100
4,12204,100
4,12205,100
4,12206,100
4,12203,100
4,12207,100
4,14159,900
4,14161,900
4,14162,900
4,14163,900
4,14160,900
4,14164,900
4,12210,2000
4,14533,1500
4,14592,750
4,12902,16500
4,13696,12500
4,13990,6000
4,12209,10

// =======================================
// 5: Rental
// =======================================
5,17229,95
5,17314,350
5,14017,3000
5,14117,3000

// =======================================
// 6: Limited Time
// =======================================

// =======================================
// 7: Function
// =======================================
7,7619,1000
7,12920,8500
7,7620,1000
7,12921,8500
7,6225,500
7,16261,4000
7,6226,500
7,16260,4000
7,7776,650
7,13710,5000
7,7621,200
7,12922,1600
7,6417,100
7,16770,850
7,12622,5000
7,6241,700
7,16395,3000
7,6240,700
7,16393,3000

// =======================================
// 8: Specials
// =======================================
